cell,shock,clock,books,paired_gap_bps,cluster
grind-night-b3,grind,night,3,104.872470,material
grind-work-b3,grind,work,3,106.297229,material
crash-night-b1,crash,night,1,107.332781,material
grind-night-b1,grind,night,1,108.654226,material
grind-night-b3,grind,night,3,108.937444,material
grind-night-b3,grind,night,3,109.082341,material
grind-night-b1,grind,night,1,109.467391,material
grind-night-b1,grind,night,1,109.930133,material
grind-night-b3,grind,night,3,110.029480,material
grind-work-b1,grind,work,1,110.508104,material
grind-work-b1,grind,work,1,110.644111,material
grind-work-b3,grind,work,3,110.825850,material
grind-night-b1,grind,night,1,111.123888,material
grind-night-b3,grind,night,3,111.280855,material
grind-night-b3,grind,night,3,112.915269,material
grind-work-b3,grind,work,3,112.982699,material
grind-work-b3,grind,work,3,113.677093,material
grind-night-b3,grind,night,3,114.310810,material
grind-night-b3,grind,night,3,114.727004,material
grind-night-b1,grind,night,1,115.008399,material
grind-night-b1,grind,night,1,115.110968,material
grind-night-b3,grind,night,3,115.275023,material
grind-night-b1,grind,night,1,116.142971,material
crash-work-b1,crash,work,1,116.299526,material
grind-night-b1,grind,night,1,116.979971,material
grind-night-b1,grind,night,1,119.348164,material
grind-night-b3,grind,night,3,119.428489,material
grind-night-b1,grind,night,1,119.464074,material
grind-night-b3,grind,night,3,119.842470,material
grind-night-b3,grind,night,3,119.920493,material
grind-night-b3,grind,night,3,120.110893,material
crash-work-b3,crash,work,3,120.527730,material
crash-work-b1,crash,work,1,120.780428,material
grind-night-b3,grind,night,3,121.081929,material
wick-persist-night-b3,wick-persist,night,3,121.340568,material
grind-night-b1,grind,night,1,121.576068,material
crash-night-b3,crash,night,3,124.427202,material
wick-persist-night-b3,wick-persist,night,3,124.486072,material
grind-night-b1,grind,night,1,125.364015,material
grind-work-b3,grind,work,3,125.876615,material
wick-persist-work-b3,wick-persist,work,3,127.336372,material
crash-night-b3,crash,night,3,127.652747,material
grind-work-b1,grind,work,1,127.707590,material
grind-night-b1,grind,night,1,128.015309,material
grind-night-b1,grind,night,1,128.663420,material
wick-persist-night-b3,wick-persist,night,3,129.183568,material
wick-persist-night-b3,wick-persist,night,3,129.710055,material
crash-night-b1,crash,night,1,130.128683,material
wick-persist-work-b3,wick-persist,work,3,130.215414,material
grind-night-b3,grind,night,3,130.535574,material
crash-night-b3,crash,night,3,132.779256,material
wick-persist-night-b3,wick-persist,night,3,133.025248,material
wick-persist-work-b3,wick-persist,work,3,133.697254,material
grind-night-b3,grind,night,3,134.058041,material
grind-night-b1,grind,night,1,134.086056,material
crash-night-b1,crash,night,1,134.271682,material
crash-work-b1,crash,work,1,134.340476,material
crash-night-b1,crash,night,1,134.645873,material
wick-persist-night-b3,wick-persist,night,3,134.925461,material
grind-work-b3,grind,work,3,135.171816,material
crash-night-b1,crash,night,1,135.401131,material
wick-persist-work-b3,wick-persist,work,3,135.512929,material
crash-work-b3,crash,work,3,135.577233,material
wick-persist-night-b3,wick-persist,night,3,136.607084,material
